Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,02.5,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,02.5,0.0
1995,D.7,Otras transferencias corrientes,02.5,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,02.5,0.0
1995,P.5,Formación bruta de capital,02.5,0.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,02.5,0.0
1995,D.9," Transferencias de capital, a pagar",02.5,0.0
1995,D.1,Remuneración de asalariados,03.1,4928.0
1995,P.2,Consumos intermedios,03.1,867.0
1995,D.29,Otros impuestos sobre la producción,03.1,1.0
1995,D.3,Subvenciones,03.1,0.0
1995,D.4,Rentas de la propiedad,03.1,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.1,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.1,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.1,0.0
1995,D.7,Otras transferencias corrientes,03.1,6.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.1,0.0
1995,P.5,Formación bruta de capital,03.1,360.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.1,0.0
1995,D.9," Transferencias de capital, a pagar",03.1,7.0
1995,D.1,Remuneración de asalariados,03.2,429.0
1995,P.2,Consumos intermedios,03.2,77.0
1995,D.29,Otros impuestos sobre la producción,03.2,0.0
1995,D.3,Subvenciones,03.2,0.0
1995,D.4,Rentas de la propiedad,03.2,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.2,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.2,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.2,0.0
1995,D.7,Otras transferencias corrientes,03.2,3.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.2,0.0
1995,P.5,Formación bruta de capital,03.2,74.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.2,0.0
1995,D.9," Transferencias de capital, a pagar",03.2,0.0
1995,D.1,Remuneración de asalariados,03.3,1163.0
1995,P.2,Consumos intermedios,03.3,276.0
1995,D.29,Otros impuestos sobre la producción,03.3,0.0
1995,D.3,Subvenciones,03.3,0.0
1995,D.4,Rentas de la propiedad,03.3,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.3,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.3,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.3,0.0
1995,D.7,Otras transferencias corrientes,03.3,4.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.3,0.0
1995,P.5,Formación bruta de capital,03.3,100.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.3,2.0
1995,D.9," Transferencias de capital, a pagar",03.3,0.0
1995,D.1,Remuneración de asalariados,03.4,362.0
1995,P.2,Consumos intermedios,03.4,186.0
1995,D.29,Otros impuestos sobre la producción,03.4,1.0
1995,D.3,Subvenciones,03.4,0.0
1995,D.4,Rentas de la propiedad,03.4,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.4,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.4,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.4,0.0
1995,D.7,Otras transferencias corrientes,03.4,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.4,0.0
1995,P.5,Formación bruta de capital,03.4,98.0
